timestep,K2064010,V4145210,V5004030,V5015210
281,0.14071998,-0.87727445,-1.5559896,5.0561275
282,0.07571594,-0.9527283,-1.7067156,4.9845257
283,0.07692191,-0.95224214,-1.7066189,4.9845023
284,0.07772821,-0.9521766,-1.7069122,4.985085
285,0.07806453,-0.95100373,-1.7063913,4.984247
286,0.07758361,-0.9502327,-1.705814,4.9849777
287,0.07769065,-0.9492939,-1.7052189,4.98501
288,0.07600547,-0.95034856,-1.70498,4.9856496
289,0.07710502,-0.9502836,-1.7040309,4.986401
290,0.07660683,-0.95084685,-1.70357,4.986389
291,0.07897105,-0.95022154,-1.7027464,4.9841714
292,0.078518234,-0.94941324,-1.7025522,4.98481
293,0.0784055,-0.94863445,-1.702638,4.985743
294,0.1373003,-0.87751055,-1.5548848,5.0598607
295,0.15696186,-0.8473492,-1.5245924,5.071354
296,0.16438045,-0.83616275,-1.5127882,5.073788
297,0.38001776,-0.92367023,-1.5294365,4.9873085
298,0.35992864,-1.2287236,-1.7972931,4.1589174
299,0.051417887,-1.0511858,-1.9983107,4.942908
300,0.38765907,-0.8805535,-2.3195457,4.773495
301,0.0352857,-0.44459566,-1.7670993,4.8289
302,0.1368608,-0.865256,-1.628919,4.894123
303,0.15656234,-0.83751255,-1.5301279,5.0080285
304,0.15549727,-0.8360467,-1.4962205,5.0530543
305,0.4301493,-0.97171074,-1.5552758,4.9221807
306,0.39795694,-1.0270282,-1.8946065,5.1413226
307,0.4373208,-1.0557486,-1.8925358,5.0657387
308,0.43946198,-0.7145245,-1.9138769,5.3728557
309,-0.020245185,-0.7294721,-1.6286107,5.2909875
310,0.31130454,-1.3335747,-2.2068813,5.107485
311,0.29690933,-1.239461,-2.1814773,4.8615527
312,-0.20597434,-1.3779402,-1.501002,5.3164935
313,0.01798906,-0.68226695,-1.6928015,4.8091617
314,0.08708382,-0.9565103,-1.6893644,4.9161363
315,0.09169061,-0.9156584,-1.6434174,4.9699664
316,0.09288147,-0.90396094,-1.6276239,4.990444
317,0.09420631,-0.89948195,-1.6206064,4.996618
318,0.15034215,-0.83037853,-1.4717354,5.0666676
319,0.16722696,-0.80194324,-1.4410514,5.078172
320,0.1760512,-0.7912429,-1.4307846,5.0822754
321,0.18436955,-0.7828861,-1.4270865,5.0837345
322,0.44586134,-0.92204195,-1.4746956,4.9254775
323,0.19054802,-0.779138,-1.4288597,5.084042
324,0.19255768,-0.7807614,-1.4295754,5.0849543
325,0.18802084,-0.7827914,-1.4275855,5.087425
326,0.33741024,-0.78810114,-1.3720899,5.149414
327,0.38452277,-0.8983357,-1.475995,4.9831767
328,0.16469027,-0.8049148,-1.4411536,5.086909
329,0.14798295,-0.8336398,-1.470795,5.077838
330,0.09115732,-0.8939732,-1.6184613,5.00997
331,0.090791665,-0.8950128,-1.6176099,5.010473
332,0.09086677,-0.89502937,-1.6173592,5.0099583
333,-0.144811,-0.11864082,-1.6430753,5.1473546
334,0.09340171,-0.8963707,-1.6157513,5.000615
335,0.09207654,-0.8947013,-1.6160017,5.0055842
336,0.09154737,-0.8932204,-1.6150674,5.0082054
337,0.09093142,-0.8915403,-1.6157823,5.0101037
338,0.091348864,-0.89158183,-1.6150693,5.0109057
339,0.0920195,-0.8920148,-1.6141287,5.0102973
340,0.092247464,-0.8922827,-1.6132269,5.0111737
341,0.09167161,-0.89160126,-1.6124157,5.0114384
342,0.15145715,-0.8274209,-1.4644464,5.080814
343,0.16807376,-0.800025,-1.4340849,5.0896573
344,0.17728007,-0.78993064,-1.4255772,5.091979
345,0.18649165,-0.7824015,-1.4220313,5.093642
346,0.1924646,-0.7796311,-1.4251237,5.092457
347,0.19405599,-0.7799304,-1.426042,5.0912824
348,0.19380645,-0.7806926,-1.425968,5.091856
349,0.1908397,-0.7812225,-1.4246153,5.095179
350,0.18515833,-0.78464985,-1.4236951,5.0980687
351,0.17542548,-0.7919002,-1.4267925,5.097903
352,0.12446084,-0.45197642,-1.4436412,5.1898594
353,0.11857761,-0.6361565,-1.610454,5.5412154
354,0.08959588,-0.90960073,-1.6273156,4.992213
355,0.091569155,-0.89561677,-1.6150317,5.0073094
356,0.09199425,-0.888627,-1.6103324,5.016715
357,0.09211018,-0.8865838,-1.6076269,5.0197353
358,0.092295654,-0.8844924,-1.6069089,5.0221257
359,0.09105313,-0.8842953,-1.6060714,5.0213137
360,0.09134545,-0.88366055,-1.6070932,5.0225244
361,0.090156496,-0.8840243,-1.6055046,5.0218678
362,0.09121287,-0.8830878,-1.604577,5.0213146
363,0.09145733,-0.8830535,-1.6041441,5.0224032
364,0.09057701,-0.88194674,-1.604473,5.0228667
365,0.09042168,-0.8817868,-1.6038591,5.0231156
366,0.14976044,-0.82122254,-1.4515487,5.091594
367,0.1665488,-0.794054,-1.4243759,5.0988317
368,0.17687112,-0.78408283,-1.4165491,5.103453
369,0.18415894,-0.77848697,-1.416803,5.103973
370,0.18924457,-0.77556044,-1.4202851,5.10069
371,0.19163187,-0.775925,-1.4219532,5.0992947
372,0.19144839,-0.77595663,-1.4226724,5.100611
373,0.18769343,-0.7773954,-1.4212946,5.1039133
374,0.18302254,-0.78212756,-1.4183512,5.1079297
375,0.17337517,-0.788177,-1.4187819,5.107391
376,0.16343236,-0.7991366,-1.4279199,5.1076455
377,0.147327,-0.8248609,-1.4543716,5.099342
378,0.088114195,-0.8809829,-1.6054956,5.031798
379,0.08858866,-0.8797825,-1.6051779,5.0328903
380,0.08840271,-0.8786003,-1.6048349,5.0319467
381,0.08947086,-0.8788727,-1.6046501,5.0326715
382,0.09030188,-0.87884253,-1.605513,5.033815
383,0.08827505,-0.8776825,-1.6050833,5.0338783
384,0.08924687,-0.8789782,-1.6022683,5.0328536
385,0.0894683,-0.8785662,-1.6019983,5.032657
386,0.08952279,-0.8782203,-1.6017884,5.0327134
387,0.089030705,-0.876877,-1.6024259,5.0331607
388,0.08937103,-0.8767294,-1.6025034,5.0340753
389,0.0874064,-0.876241,-1.6018753,5.035025
390,0.15069847,-0.8197511,-1.4466418,5.101333
391,0.16901942,-0.7950423,-1.4202055,5.1093116
392,0.17697527,-0.7830836,-1.4133177,5.111519
393,0.18526566,-0.7787362,-1.41366,5.112589
394,0.19001515,-0.7764606,-1.4169768,5.109285
395,0.19325405,-0.775206,-1.4187236,5.110643
396,0.1942774,-0.77558404,-1.418045,5.1102185
397,0.18861187,-0.7771887,-1.417123,5.1118865
398,0.18384881,-0.78209877,-1.4136859,5.1171513
399,0.17314447,-0.7879367,-1.4144148,5.1172404
400,0.16488256,-0.7993045,-1.4245282,5.116409
401,0.14659522,-0.8257608,-1.4511698,5.112488
402,0.08602845,-0.875827,-1.603436,5.043211
403,0.08560882,-0.87433195,-1.6034566,5.04266
404,0.08594111,-0.8734725,-1.6034728,5.042938
405,0.08627317,-0.8737863,-1.6028,5.0434113
406,0.08600789,-0.87368876,-1.602282,5.0436587
407,0.08507972,-0.8732473,-1.6017737,5.0440807
408,0.08518514,-0.8733196,-1.6019415,5.043754
409,0.08476124,-0.8716771,-1.6013981,5.044473
410,0.08393959,-0.8720091,-1.600963,5.045037
411,0.08497795,-0.87203103,-1.5995183,5.0446777
412,0.08638785,-0.87138796,-1.5991855,5.044853
413,0.08696113,-0.87088495,-1.599494,5.0446897
414,0.14413448,-0.8198939,-1.4473943,5.114382
415,0.16136698,-0.7942882,-1.4183908,5.1212616
416,0.17098089,-0.78502065,-1.4115311,5.1231103
417,0.17930622,-0.7807934,-1.41185,5.1231556
418,0.18495345,-0.77702993,-1.4149314,5.1206975
419,0.1888572,-0.77502805,-1.4168925,5.122537
420,0.18734534,-0.77658147,-1.4180886,5.122963
